,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
37,Ringdijk 48,1.700.000 k.k.,"Ringdijk 48, 1097 AG Amsterdam",217 m^2,106 m^2,7,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/huis-42638620-ringdijk-48/,"48, Ringdijk, Frankendael, Oost, Amsterdam, Noord-Holland, Nederland, 1097AG, Nederland",52.3525421,4.9231277
38,Bultrugpad 5,500.000 k.k.,"Bultrugpad 5, 1035 HS Amsterdam",134 m^2,88 m^2,4,Bert van Vulpen makelaars + hypotheken,https://www.funda.nl/koop/amsterdam/huis-42637888-bultrugpad-5/,"5, Bultrugpad, Oostzanerwerf, Amsterdam, Noord-Holland, Nederland, 1035HS, Nederland",52.4219574,4.8843549
39,Maanhof 32,950.000 k.k.,"Maanhof 32, 1109 CB Amsterdam",192 m^2,427 m^2,6,Vuurtoren | deMakelaars.nl - Weesp,https://www.funda.nl/koop/amsterdam/huis-42635662-maanhof-32/,"32, Maanhof, Driemond, Amsterdam, Noord-Holland, Nederland, 1109CB, Nederland",52.3082842,5.0177263
40,Nieuwendammerdijk 162,1.250.000 k.k.,"Nieuwendammerdijk 162, 1025 LS Amsterdam",122 m^2,205 m^2,5,Peters en Partners,https://www.funda.nl/koop/amsterdam/huis-42623355-nieuwendammerdijk-162/,"162, Nieuwendammerdijk, Tuindorp Buiksloot, Noord, Amsterdam, Noord-Holland, Nederland, 1025LS, Nederland",52.391577,4.9327528
41,Bosplaat 8,1.150.000 k.k.,"Bosplaat 8, 1025 AT Amsterdam",204 m^2,229 m^2,6,Ankersmit Makelaars Amsterdam,https://www.funda.nl/koop/amsterdam/huis-42623862-bosplaat-8/,"8, Bosplaat, Buikslotermeer, Zunderdorp, Amsterdam, Noord-Holland, Nederland, 1025AT, Nederland",52.3993478,4.946088
42,Bosplaat 8 + PP,1.200.000 k.k.,"Bosplaat 8 + PP, 1025 AT Amsterdam",204 m^2,229 m^2,6,Ankersmit Makelaars Amsterdam,https://www.funda.nl/koop/amsterdam/huis-42623869-bosplaat-8-pp/,,,
43,Pieter A. van Heijningestraat 10,475.000 k.k.,"Pieter A. van Heijningestraat 10, 1035 TA Amsterdam",97 m^2,88 m^2,4,Makelaardij Van der Linden Amsterdam,https://www.funda.nl/koop/amsterdam/huis-42629156-pieter-a-van-heijningestraat-10/,"10, Pieter A. van Heijningestraat, Kadoelen, Amsterdam, Noord-Holland, Nederland, 1035TA, Nederland",52.4224368,4.900153
44,Nieuwendammerdijk 533,850.000 k.k.,"Nieuwendammerdijk 533, 1023 BS Amsterdam",90 m^2,98 m^2,5,Hoekstra en van Eck Amsterdam Noord,https://www.funda.nl/koop/amsterdam/huis-42629818-nieuwendammerdijk-533/,"533, Nieuwendammerdijk, Tuindorp Nieuwendam, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1023BS, Nederland",52.3866557,4.9480945
45,Apollolaan 44,3.495.000 k.k.,"Apollolaan 44, 1077 BB Amsterdam",232 m^2,257 m^2,7,Mar. J. Heule Makelaardij,https://www.funda.nl/koop/amsterdam/huis-42626718-apollolaan-44/,"44, Apollolaan, Apollobuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1077BB, Nederland",52.3498581,4.8822366
46,Hodenpijlkade 48,2.650.000 k.k.,"Hodenpijlkade 48, 1058 LZ Amsterdam",243 m^2,348 m^2,6,Eefje Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/huis-42619069-hodenpijlkade-48/,"48, Hodenpijlkade, Westlandgracht, Amsterdam, Noord-Holland, Nederland, 1058LZ, Nederland",52.3551235,4.8433663
